start	end	text
1163580	1171980	as they as they did um and also in this lecture for um educational purposes we will also mostly work on
1171980	1178300	computer vision problems right at the beginning um because it's it's a little bit easier to understand
1179500	1185020	um and one of the important problems that we would like to look at is for instance image classification
1185980	1192060	um image classification is kind of the simplest canonical problem that we would like to look at
1192060	1198460	and we would like to solve and the idea behind image classification is that we are starting with an
1198460	1205260	image right so we have an input image uh that could be an image from from a smartphone could be an image
1205260	1211020	from a webcam um could be random image on the internet on social media um we're gonna do a bit of
1211020	1219260	pre-processing on this image and at some point we would like to figure out a label for this image
1219900	1223980	and this is something we will talk in a bit more detail in the next lecture what i mean by label but
1223980	1229420	for the most part a label means you have a predefined set of classes in this case we have a cat class
1230380	1237020	and you would like to to figure out is it a cat or is it not a cat right it's just a binary label in this
1237020	1242220	case um later on we can have more complicated ones with cats dogs and all complicated animals of course
1242940	1248380	but we would like to figure out a label that we can assign to that image um and in the middle image
1248380	1255020	classification um has been studied quite a lot in fact it has been studied a lot prior to deep learning
1255020	1264540	methods um very very extensively and in fact prior to 2012 so we will later see why this is such an
1264540	1270060	important year for deep learning um typically what happened is deep learning methods didn't work that
1270060	1275660	well on image classification they were known it was clear that you could use certain deep learning methods
1275660	1282060	but they didn't work that well um and we'll we'll talk about why they didn't work that well um but
1282060	1288620	the standard methodology there was you did some sort of feature extraction um
1289980	1294220	and based on this feature extraction you had some learning method that followed after the feature
1294220	1300860	extraction and then you had some label assignment right um so it was still machine learning it just
1300860	1308620	wasn't deep learning and the way specifically this differed was these features here that you're using
1308620	1313580	you know similar to this huble and wiesel experiments similar to what the cat was seeing on the screen
1313580	1319100	we wanted to do for instance an edge detector or corner detector and these kind of feature detectors
1319100	1324140	they were mostly handcrafted in fact they were all handcrafted um and you might have heard if you
1324140	1328860	have taken computer vision class you know these features of course they're very widely known they're like
1328860	1336540	sift surf har features hawk features all these kind of features um have been extensively studied
1336540	1342780	in fact researchers have spent decades figuring out what are good features that can lead to good
1342780	1352700	abstractions of an image such that later we can do classifications um and as you can already see the
1352700	1357260	the idea kind of between these features is for instance you do sort of sound like things like edge
1357260	1363020	detection corner detection and so on so the idea is you're gonna get the stuff you want to be invariant to
1363580	1369260	you want to remove so for instance ideally you want to like remove the position for instance right
1369260	1375180	that's important you want to figure out things like the actual color of the cat doesn't matter maybe
1375180	1381740	that much right so is it like a dark or brighter fur of the cat it doesn't matter maybe too much whether
1381740	1387740	it's a cat or not so these kind of features are supposed to have certain invariances many of them are
1387740	1393980	gradient based um um and many of them have invariances so sift for instance is a very popular feature
1393980	1399900	descriptor stands for scale invariant feature transform right so the scale here shouldn't matter
1399900	1405900	basically right so it's independent of how how big the cab is in the image um and then the idea was
1405900	1411420	there was a learning algorithm that followed these handcrafted feature extractors like support vector
1411420	1418540	machines random forests approximate nearest neighbors stuff like that these kind of learning methods they
1418540	1424140	were actually being used um they took these feature descriptors as input and based on these feature
1424140	1429180	descriptors they had some labels in the training set and there was an optimization to optimize these
1429180	1434860	learning methods and then they figured out how to predict more or less the right label and
1435820	1443100	the thing the big thing what changed with deep learning is basically this part here or these two parts here
1443100	1448300	got replaced right so specifically the feature learning part was the big revolution that was actually
1448300	1455980	replaced um and if you ask a lot of critics in a sense they're going to tell you oh there's like this
1455980	1463660	magic box of deep learning um and this magic box of deep learning kind of unifies this whole pipeline of
1463660	1470220	feature extraction and assigning of labels in a sin in a single end-to-end step and we'll also learn
1470220	1475660	what it means i will i will mention this this term end-to-end a lot during the lecture because this is
1475660	1481180	very critical end-to-end in practice here means that there's going to be an optimization that takes the
1481180	1486700	labels into account and then uses this information of the labels all the way through this pipeline in order
1486700	1493100	to figure out what should happen here um and a lot of people will tell you that we don't understand deep
1493100	1499740	learning a lot of people will say oh um it's complicated it's a black box and so on but i would
1499740	1506140	differ here um i'm actually arguing we actually understand it pretty well uh and part of this
1506140	1511340	lecture is we want to open this box right we want to figure out what's in the box we want to become the
1511340	1518460	magicians so other people can can kind of admire the things that we are doing and yeah this is kind of
1518460	1526140	the idea what we want to look at um so i wanted to give a little bit of a bit of an overview um before
1526140	1533020	we i mean this is mostly i wanted to give a bit of an overview right now first um what what deep
1533020	1537820	learning is right like how does it correlate with ai how does it correlate with machine learning how does
1537820	1544620	it correlate historically speaking um specifically with computer vision um and now i wanted to talk a little
1544620	1551100	bit about more about why deep learning specifically and i also wanted to give a very brief history of
1551100	1556460	deep learning um because i think that is also very important to see what people have tried over the
1556460	1560780	past and it's kind of i don't know i found it always fun i mean of course this was prior to my time too
1561340	1567100	um but it was kind of fun like how people had you know approached the problem in a sense um of deep
1567100	1574940	learning and there's like this very famous um diagram here and the the deep learning history
1575580	1579740	um and what's kind of interesting about this one is if you're looking at things like this
1579740	1584300	generally speaking research not just for deep learning you will see there's often a lot of hype
1584300	1591100	cycles and there's often things like some some sometimes a few years this gets attention sometimes a
1591100	1596860	few years that gets attention um and you can see how these things kind of iterate and there's
1596860	1603660	kind of an ongoing process in how to make progress in the respective research field so for deep
1603660	1608860	learning of course um there's a lot of debate when it actually started and i mean the mathematical
1608860	1614940	models they're actually like hundreds of years old already um specifically how to do the optimizations
1615740	1621980	a lot of the optimization will be based on energy minimization problems that are given um but if you're
1621980	1626380	talking about quoting for the history of deep learning a lot of people try to start
1626860	1635500	um talking about the 40s um there's kind of a very famous paper in the 40s um where people proposed
1635500	1642140	this electronic frame specifically this um mcculloch and pitts um this is the paper the paper authors
1642140	1648220	and you will see this also very often in this course i will often mention the author names respectively
1648220	1654060	by referring to a specific method um this is very common in the research field um and these folks
1654060	1661580	specifically here now they try to understand how the brain could produce high highly complex patterns
1662140	1668940	by using many basic cells that are connected together right so um they first then thought about
1668940	1675260	oh these cells are now called neurons and then they had some some threshold units um and this is kind
1675260	1682620	of mimicking um what what the brain would do right so basically you connect a bunch of neurons in a sense
1682620	1687900	right this was kind of the high level idea um and these neurons then are thresholded based on certain
1687900	1695660	outputs um and um then you could you could do something with it right you can you can basically have
1696220	1704380	these these um uh connected cells um they could then figure out how to make decisions in this case they
1704380	1708380	didn't have any learning which is kind of interesting right this is more like a think about it more as a
1708380	1713500	state machine right so you have neurons together right they they have impulses they will have some
1713500	1717500	outputs and based on these outputs you threshold it and based on these outputs you kind of get some
1717500	1721100	decisions but there's no learning there's no machine learning involved actually at this point
1722220	1727420	um but people that in the 50s this is like the first they they kind of followed up on this idea
1728060	1733660	um and they thought well maybe we can learn these kind of things and based on a bunch of samples
1733660	1742460	um so this was this perceptron uh was the first model that could then learn weights given training
1742460	1748700	samples right and there's there's multiple people who were involved in this there's rosenblatt was very
1748700	1755420	famous with rovenhoff was very famous um and what like with rovenhoff for instance did is they call
1755420	1763580	this adaptive linear element or a line um and what is interesting about it they thought about oh you
1763580	1770380	going to have some like neuron in a sense um and this neuron is going to learn weights um such
1770380	1777500	that the outputs are following specific training samples now what you might have to to see though is
1777500	1782380	this was in the 50s um and in this case they didn't have the software to do this kind of stuff so what
1782380	1790140	they did is basically um they actually figured out physical connections of hardware to model these kind
1790140	1796060	things right um it's kind of interesting so they didn't have the tools of modern computers available
1796060	1803500	so they had to find like actual hardware to do it um and then you know like this was like people thought
1803500	1808860	oh wow this is really cool right they figured out this concept of neurons um and then they tried to
1808860	1816380	figure out um how to how to work with this and how to do ai with it um and then in the 70s or like in the
1816380	1824860	1969 is years um they figured out one of the first big problems so for instance um they had in this case
1824860	1829900	if you take a perceptron like this and this thresholding idea what these guys did um they
1829900	1834780	figured out this x-off problem so one problem here is if you say oh you have a decision to make
1835340	1843500	right um you can you can say oh if i have a linear a linear model here right so i cut this those
1843500	1851180	um these samples here with a lid with a linear plane um then you you can never represent an x-or
1851180	1855500	right so an x-or means like when this is white this is white and this is black and this is black
1855500	1859900	you're going to have the issue that there's no linear line that would cut this in part to represent
1859900	1865660	the x-or issue right right so you cannot find a line that would represent this distribution of samples
1865660	1871020	you cannot make this decision what an x-or would do so even a simple thing such as an x-or
1871020	1880940	was not able to be represented um with with such a linear model um and at the time this kind of
1880940	1887260	cost um yeah a bit of a major a major emotional roller coaster for people because this started this
1887260	1893740	this famous ai winter like if you um when you when you hear people talking about ai you will also hear
1893740	1898140	often about the ai winter where people thought oh wow what we're doing just doesn't work out people
1898140	1902620	lost interest and then the hype cycle again went down right and this is what i mentioned before
1902620	1907420	in research you often have these these cycles where sometimes there's more attention and sometimes
1907420	1913580	there's less attention um but then you know eventually when the dust settles a bit eventually
1913580	1920220	things get a bit more traction again and then the mid 80s people actually had this very brilliant idea
1920220	1924860	of saying instead of using the simple linear neurons or these linear models what they had before
1924860	1932780	um they they now wanted to figure out um uh a stacked version of that and they call this multi-layer
1932780	1939660	perceptron and the idea of a multi-layer perceptron is still very relevant today um is to distribute the
1939660	1948140	representation um across multiple layers right so you have several layers of perceptrons and neurons um and
1948140	1954860	then you can represent more non-linearities and we'll later see what that means is basically we can
1954860	1961260	represent more complicated functions that our model can learn and this multi-layer perceptron um we're
1961260	1967100	going to call them mlps that's a term that we will hear many many times throughout this course um can
1967100	1973580	actually represent um well very complicated functions and you can fit these functions um to training data
1973580	1978780	which is essentially learning um the other thing that people introduced at the time is this learning
1978780	1984540	process doing it with computers they use uh back propagation it's a very famous method that is based
1984540	1990620	on the gradient descent optimizer this will be one of the core optimization methods that is still used up
1990620	1997660	to date um and train our latest and coolest deep learning models in fact it's kind of interesting that
1997660	2003900	most of the theory that we're using today has actually been developed in the 80s right it didn't
2003900	2009020	work for several reasons that well um but the theory was already there which is kind of interesting so
2009020	2013340	okay theory was good but it still took a little bit of time to actually make it work in practice
2015340	2023180	and then in the 90s people actually worked a lot with svms um this was then okay a few more things
2023180	2033420	were working right um and um a few of these things that were starting to work with the svm models um
2034060	2038380	and that was kind of interesting because there was like another hype cycle so people started to over
2038380	2045660	claim um a little bit what svms can actually do um and then they didn't quite deliver it and the
2045660	2050780	popularity decreased again this all from what happens um we see this also today i mean we'll talk about
2050780	2057820	this also a little bit um other areas of machine learning were growing um current methods were also
2057820	2066140	quite popular svm methods right um and and then yeah like the problem is the over claims of the deep
2066140	2073340	learning models were a little bit too high and then svms and uh uh yeah so kernel methods and so on
2073340	2077740	took actually over a little bit um and then you know the interest in deep learning went down a little
2077740	2083660	bit so it's kind of like a second um kind of a second ai interval say or at least a period of some
2083660	2095500	darkness um then until um 2007 it starts another like dark period right um and then with the idea
2096220	2101660	the networks have potential but you know they're not quite really easy to train there's there's issues
2101660	2111900	in practice and so on and this then changed like in in um later on um 2006 these uh these deep neural
2111900	2117100	networks for pre-training were quite a lot um there was a lot of work by a chef hinton actually like
2117100	2125420	hinton is a very famous researcher that has laid a lot of foundations um in these fields um and the 2006
2125420	2130620	specifically hinton showed that a deep belief network can be officially trained using layer wise pre-training
2130620	2137260	um this is kind of interesting because previously people thought well neural networks is the key
2137260	2143820	but they couldn't train it and this was like them hinting that oh there could be more and more um ease
2143820	2149260	of training and then basically when we are talking about modern versions of deep learning there was like
2149260	2158220	one big breakthrough and that was in 2012. and in 2012 what happened is that suddenly deep learning
2158220	2162620	models were outperforming everything else and they were not just outperforming everything else they
2162620	2169340	were outperforming everything else by quite a significant margin so here's an example of um a
2169340	2176220	benchmark um and we'll talk a lot about benchmarks and computer vision problems um because they used to
2176220	2182140	evaluate the respective methods um this is a benchmark called image net it's a large data set um with over
2182140	2188700	10 million of images and respective class labels and so what people are what people are measuring here
2188700	2195580	is they're measuring the top five error on image net so in other words um it's a classification problem
2195580	2202060	so you give give the model one image and um you're making a prediction and then you're checking out if
2202060	2210700	your result is in the top uh is sorry out of your results is in the top five classes right um and you don't
2210700	2215100	even have to get the correct class like it has to be one of the top five in this case right um and
2215100	2219420	the idea is basically this is the error right here you see on the y-axis and this is the respective
2219420	2229500	year when the methods have been developed um and what happened until 2010 and 2011 um there were things like
2229500	2236940	um deformable part models that were still based on um handcrafted features that were kind of used in
2236940	2241660	in other learning methods like svms and so on um but they were handcrafted features until here and
2241660	2248060	then deep learning kicked in and changed the whole game right uh and the big thing what happened was
2248060	2255500	2012 was this very very famous paper by alex krushevsky um so he proposed this alex net that's named after
2255500	2261420	him and that in a sense i would say i guess it's fair to say that this is the paper that you know sparked
2261420	2265820	the modern revolution of people because people realized wow okay we're gonna get from a
2265820	2273340	26 percent error suddenly to you know 16 17 error which was massive improvement in just one year
2274220	2280540	and not just that it was also very clear that this was a very basic model that could be further
2280540	2285580	optimized and further improved by certain tweaks in the architecture and this is what happened in
2285580	2292220	the subsequent years so um so this this graphy ends in 2017 but you can imagine this extrapolate this
2292220	2299340	to 2023 this is a lot better right now with even bigger architectures and um and better architectures
2299340	2304460	not just bigger but also better architectures um and we'll talk a little bit about what like make
2304460	2309260	this progress happen of course like what are the right choices in the architecture what makes it train
2309260	2315020	better what makes it scale better how can you use better architectures um some part of it is also
2315020	2320780	like compute got better right we could use larger machines we have larger mechanisms to train got more
2320780	2327340	more efficient and so on but the big message here to take away in 2012 alex net came out um and then
2327340	2331660	alex net came out everybody thought wow deep learning is actually pretty cool and it works really really
2331660	2343340	well um and the question is basically what has changed in 20 2012 um and there's a couple of different
2343340	2348220	things that have changed um and there's this there's various different access that had to all get
2348220	2355660	together um so the first thing actually what has changed is availability of data so for instance in 1999
2356220	2363180	uh young lecun who is also very famous research and deep learning um he's been working on classifying
2364460	2371260	digital uh like handwritten ditches for bank checks and he proposed this this network called lanette
2371260	2376380	like he's a french guy i can't pronounce it so well but yeah so it's named after him this lanette
2377260	2383500	and the idea was there was um basically a handwritten set of digits and you wanted to figure out what's
2383500	2389180	in these handwritten digits um and there's a very famous data set called mnist we'll see this data set
2389180	2395660	too uh and this mnist data set is for a single digit recognition so every image has a number from zero to
2395660	2402220	nine there's exactly one single number data set is basically black background and a white outline for
2402220	2408780	the respective numbers um and in this data set you had about 10 to the power of seven pixels used in
2408780	2416860	training right um and then in 2012 when alex kushevsky was proposing his alex net paper that was trained on
2416860	2424060	image net so image net was already 10 to the power of 14 pixels used in training right so if you're
2424060	2428940	comparing the difference here there's like seven orders of magnitude difference in the availability
2428940	2434460	of training data in a sense of course number of pixels might not be the best measure but i just
2434460	2439980	wanted to give you a bit of a sense of the complexity here like this is like tens of thousands toy images
2439980	2448220	and this is tens of millions of real images in the free world uh in the wild and and that is a big
2448220	2455820	a big big difference that now more training data was available and it's one precursor prerequisite
2456460	2463500	in order to make things like this happen what else is important well data we've talked about
2464380	2469420	but there's actually much more it's not just the data itself we also had to know what we deal with
2469420	2477820	how to deal with that kind of data um and more specifically um modern gpus were kind of important so
2477820	2485100	what people used for graphics for gaming and for playing video games turns out to be really really
2485100	2490540	good for deep learning models they are really scalable and they can train these models in a
2490540	2495900	reasonable amount of time a reasonable amount of time is another thing we will discuss in this lecture
2495900	2501260	it could take still a long time to train big models but at least it was at a level where it was feasible
2501260	2508460	before that it was just infeasible to train models like that um and that was very critical actually
2508460	2514220	to make things work to have hardware that could actually train these models um it turns out all you
2514220	2520860	needed is is it's matrix vector multiplications um and that's something that gpus graphics cards can
2520860	2526060	actually do remarkably well and remarkably well in parallel so we can do a lot of this stuff in parallel
2526060	2532700	and then based on these okay we have more data we have better hardware we could actually make the
2532700	2538860	models more complex and more complex models lead eventually deeper models better models lead
2538860	2544940	eventually to better performance now this is essentially what made like data and hardware made
2544940	2551180	it possible for Alex Gruszewski to do deeper models um but since 2012 there has been another thing
2551180	2555980	what has been introduced not just the hardware got a lot better also the software
